"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0035853","chromosome passenger complex localization to spindle midzone",9.407778e-06,0.5997929,6,10.00345,9.411027e-05,3.877512e-05,0.000125120599333006,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0032475","otolith formation",9.638913e-06,0.6145289,6,9.763577,9.411027e-05,4.429723e-05,0.000141757599603599,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0035675","neuromast hair cell development",9.638913e-06,0.6145289,6,9.763577,9.411027e-05,4.429723e-05,0.000141757599603599,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0061526","acetylcholine secretion",9.638913e-06,0.6145289,6,9.763577,9.411027e-05,4.429723e-05,0.000141757599603599,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:2000474","regulation of opioid receptor signaling pathway",3.533542e-05,2.25281,21,9.321693,0.0003293859,5.834773e-14,4.43557353593299e-13,2,1.479363,2,1.351933,0.0001439988,1,0.5471185,0.895018938525609,"human_specific"
"GO:0060010","Sertoli cell fate commitment",2.525228e-05,1.609959,15,9.317008,0.0002352757,2.14636e-10,1.21374951611517e-09,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1902396","protein localization to bicellular tight junction",4.103584e-05,2.61624,24,9.17347,0.0003764411,1.38557e-15,1.1665205137556e-14,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0051456","attachment of spindle microtubules to kinetochore involved in meiotic sister chromatid segregation",3.799194e-05,2.422176,22,9.082741,0.000345071,2.492631e-14,1.93856568138298e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0010900","negative regulation of phosphatidylcholine catabolic process",1.037691e-05,0.66158,6,9.069198,9.411027e-05,6.626947e-05,0.000207529737203713,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0035105","sterol regulatory element binding protein import into nucleus",2.094445e-05,1.335313,12,8.986654,0.0001882205,1.963649e-08,9.14031029041387e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0002037","negative regulation of L-glutamate transport",1.416868e-05,0.9033245,8,8.856175,0.0001254804,4.945252e-06,1.7692923074497e-05,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0071846","actin filament debranching",7.097107e-06,0.4524761,4,8.840246,6.274018e-05,0.00121941,0.00315002280918728,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0060450","positive regulation of hindgut contraction",1.25201e-05,0.7982191,7,8.769522,0.0001097953,2.045191e-05,6.87951645424335e-05,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1900148","negative regulation of Schwann cell migration",1.792744e-05,1.142964,10,8.749183,0.0001568504,3.724914e-07,1.52366003500155e-06,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1905045","negative regulation of Schwann cell proliferation involved in axon regeneration",1.792744e-05,1.142964,10,8.749183,0.0001568504,3.724914e-07,1.52366003500155e-06,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0032581","ER-dependent peroxisome organization",3.590253e-06,0.2288966,2,8.73757,3.137009e-05,0.02252215,0.046113112159639,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0030037","actin filament reorganization involved in cell cycle",3.85434e-05,2.457334,21,8.545846,0.0003293859,2.980092e-13,2.14524237571116e-12,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1903577","cellular response to L-arginine",1.840264e-05,1.173261,10,8.523256,0.0001568504,4.708572e-07,1.89712489124311e-06,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1900163","positive regulation of phospholipid scramblase activity",4.069884e-05,2.594755,22,8.478643,0.000345071,9.614787e-14,7.19277897288232e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:2000753","positive regulation of glucosylceramide catabolic process",4.069884e-05,2.594755,22,8.478643,0.000345071,9.614787e-14,7.19277897288232e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:2000755","positive regulation of sphingomyelin catabolic process",4.069884e-05,2.594755,22,8.478643,0.000345071,9.614787e-14,7.19277897288232e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0046521","sphingoid catabolic process",3.036448e-05,1.935888,16,8.264943,0.0002509607,3.021368e-10,1.68896268105353e-09,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0034224","cellular response to zinc ion starvation",1.530257e-05,0.9756156,8,8.199951,0.0001254804,8.591631e-06,3.01405684694748e-05,2,1.479363,1,0.6759666,7.199942e-05,0.5,0.9322445,1,"human_specific"
"GO:0060697","positive regulation of phospholipid catabolic process",4.343672e-05,2.769308,22,7.944222,0.000345071,3.411062e-13,2.43681676753529e-12,2,1.479363,1,0.6759666,7.199942e-05,0.5,0.9322445,1,"human_specific"
"GO:0002432","granuloma formation",2.373884e-05,1.513469,12,7.928802,0.0001882205,7.49804e-08,3.29878663858241e-07,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0035934","corticosterone secretion",1.40281e-05,0.8943613,7,7.826814,0.0001097953,4.172504e-05,0.000134047803066406,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0008594","photoreceptor cell morphogenesis",6.089168e-06,0.3882149,3,7.727679,4.705513e-05,0.007308941,0.016463258236734,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0031283","negative regulation of guanylate cyclase activity",1.677142e-05,1.069262,8,7.481796,0.0001254804,1.647455e-05,5.60032558641178e-05,2,1.479363,2,1.351933,0.0001439988,1,0.5471185,0.895018938525609,"human_specific"
"GO:0035789","metanephric mesenchymal cell migration",1.478107e-05,0.9423673,7,7.428101,0.0001097953,5.772392e-05,0.000182243057408829,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0060981","cell migration involved in coronary angiogenesis",1.478107e-05,0.9423673,7,7.428101,0.0001097953,5.772392e-05,0.000182243057408829,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0072262","metanephric glomerular mesangial cell proliferation involved in metanephros development",1.478107e-05,0.9423673,7,7.428101,0.0001097953,5.772392e-05,0.000182243057408829,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0060709","glycogen cell differentiation involved in embryonic placenta development",1.532674e-05,0.9771565,7,7.163643,0.0001097953,7.219944e-05,0.000224232341505782,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0100002","negative regulation of protein kinase activity by protein phosphorylation",1.532674e-05,0.9771565,7,7.163643,0.0001097953,7.219944e-05,0.000224232341505782,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0036245","cellular response to menadione",4.616303e-05,2.943124,21,7.135276,0.0003293859,8.304767e-12,5.33085019282927e-11,2,1.479363,2,1.351933,0.0001439988,1,0.5471185,0.895018938525609,"human_specific"
"GO:1904692","positive regulation of type B pancreatic cell proliferation",1.767077e-05,1.1266,8,7.101011,0.0001254804,2.379352e-05,7.92856241276272e-05,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0097017","renal protein absorption",5.526001e-05,3.523102,25,7.096019,0.0003921261,1.0322e-13,7.69559195467422e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1903906","regulation of plasma membrane raft polarization",5.526001e-05,3.523102,25,7.096019,0.0003921261,1.0322e-13,7.69559195467422e-13,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0045403","negative regulation of interleukin-4 biosynthetic process",4.661236e-05,2.971771,21,7.066493,0.0003293859,9.9055e-12,6.30912267666989e-11,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0060377","negative regulation of mast cell differentiation",4.661236e-05,2.971771,21,7.066493,0.0003293859,9.9055e-12,6.30912267666989e-11,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0061408","positive regulation of transcription from RNA polymerase II promoter in response to heat stress",1.338235e-05,0.8531916,6,7.032418,9.411027e-05,0.0002592998,0.000744030978674226,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1904843","cellular response to nitroglycerin",1.338235e-05,0.8531916,6,7.032418,9.411027e-05,0.0002592998,0.000744030978674226,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0036363","transforming growth factor beta activation",1.339596e-05,0.8540597,6,7.02527,9.411027e-05,0.0002606959,0.00074725664476149,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1902462","positive regulation of mesenchymal stem cell proliferation",1.339596e-05,0.8540597,6,7.02527,9.411027e-05,0.0002606959,0.00074725664476149,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0010849","regulation of proton-transporting ATPase activity, rotational mechanism",0.0001275134,8.129617,57,7.011401,0.0008940475,6.208644e-29,1.00863637525926e-27,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0060319","primitive erythrocyte differentiation",0.0001926877,12.2848,85,6.919117,0.001333229,7.248843e-42,1.78294439321495e-40,2,1.479363,2,1.351933,0.0001439988,1,0.5471185,0.895018938525609,"human_specific"
"GO:1905355","spine apparatus assembly",4.996127e-05,3.185281,22,6.90677,0.000345071,4.991907e-12,3.2599753951861e-11,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1903572","positive regulation of protein kinase D signaling",0.0001460753,9.313034,64,6.872089,0.001003843,8.526344e-32,1.57803320247539e-30,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0002875","negative regulation of chronic inflammatory response to antigenic stimulus",3.670691e-05,2.340249,16,6.836879,0.0002509607,4.308734e-09,2.16572309801375e-08,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:1990697","protein depalmitoleylation",6.915672e-06,0.4409086,3,6.804131,4.705513e-05,0.01030123,0.0225998475441814,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
"GO:0002874","regulation of chronic inflammatory response to antigenic stimulus",4.677644e-05,2.982232,20,6.706387,0.0003137009,7.491913e-11,4.41693920999104e-10,3,2.219045,3,1.351933,0.0002159983,1,0.4046783,0.840461134738005,"human_specific"
"GO:0000718","nucleotide-excision repair, DNA damage removal",7.055918e-06,0.4498501,3,6.668888,4.705513e-05,0.0108693,0.0237195885074627,1,0.7396815,1,1.351933,7.199942e-05,1,0.7396815,0.897673047911095,"human_specific"
