"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0050823","peptide antigen stabilization",5.067952e-06,0.1790051,5,27.93216,0.0001415588,1.319434e-06,1.87095172478448e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0006258","UDP-glucose catabolic process",2.042431e-06,0.07214071,2,27.7236,5.662354e-05,0.002480252,0.0155937104959388,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0015878","biotin transport",2.042431e-06,0.07214071,2,27.7236,5.662354e-05,0.002480252,0.0155937104959388,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0015887","pantothenate transmembrane transport",2.042431e-06,0.07214071,2,27.7236,5.662354e-05,0.002480252,0.0155937104959388,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0043063","intercellular bridge organization",2.042431e-06,0.07214071,2,27.7236,5.662354e-05,0.002480252,0.0155937104959388,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0072671","mitochondria-associated ubiquitin-dependent protein catabolic process",5.34368e-06,0.1887441,5,26.49089,0.0001415588,1.705764e-06,2.36524219978925e-05,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0010905","negative regulation of UDP-glucose catabolic process",9.874814e-06,0.3487883,9,25.80362,0.0002548059,1.537361e-10,4.5055976389755e-09,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1904227","negative regulation of glycogen synthase activity, transferring glucose-1-phosphate",9.874814e-06,0.3487883,9,25.80362,0.0002548059,1.537361e-10,4.5055976389755e-09,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1902389","ceramide 1-phosphate transport",2.228633e-06,0.07871753,2,25.4073,5.662354e-05,0.002940261,0.0180125207164804,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0090156","cellular sphingolipid homeostasis",1.602151e-05,0.5658958,14,24.73954,0.0003963648,2.332203e-15,1.31151535371795e-13,3,1.894392,3,1.583621,0.0002530151,1,0.2517708,0.708068381534516,"human_shared"
"GO:0001193","maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter",6.885716e-06,0.2432104,6,24.67,0.0001698706,2.333749e-07,3.94727546156812e-06,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0097698","telomere maintenance via base-excision repair",3.496302e-06,0.1234929,3,24.2929,8.493531e-05,0.0002861816,0.0023699582595343,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0018057","peptidyl-lysine oxidation",8.168363e-06,0.2885147,7,24.26219,0.0001981824,2.565036e-08,5.16105637981651e-07,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1905590","fibronectin fibril organization",8.168363e-06,0.2885147,7,24.26219,0.0001981824,2.565036e-08,5.16105637981651e-07,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0060621","negative regulation of cholesterol import",8.302823e-06,0.293264,7,23.86928,0.0001981824,2.863728e-08,5.71833031138088e-07,2,1.262928,2,1.583621,0.0001686767,1,0.3987344,0.834437972264631,"human_shared"
"GO:0032581","ER-dependent peroxisome organization",3.590253e-06,0.1268113,3,23.65719,8.493531e-05,0.0003091123,0.00253433567333333,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:0042946","glucoside transport",3.726756e-06,0.1316327,3,22.79068,8.493531e-05,0.0003444878,0.00277254737626911,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:2000256","positive regulation of male germ cell proliferation",3.908532e-06,0.1380533,3,21.73074,8.493531e-05,0.0003954988,0.00314273472777778,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1902511","negative regulation of apoptotic DNA fragmentation",9.125582e-06,0.3223247,7,21.71723,0.0001981824,5.409817e-08,1.03065229986975e-06,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
"GO:1901307","positive regulation of spermidine biosynthetic process",3.9487e-06,0.139472,3,21.50969,8.493531e-05,0.0004073875,0.00319666792635659,1,0.631464,1,1.583621,8.433837e-05,1,0.631464,0.922655427048634,"human_shared"
