"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH","set"
"GO:0019470","4-hydroxyproline catabolic process",3.856413e-06,0.1078523,2,18.54388,7.151285e-05,0.005414148,0.02605558725,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0033609","oxalate metabolic process",3.856413e-06,0.1078523,2,18.54388,7.151285e-05,0.005414148,0.02605558725,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1904935","positive regulation of cell proliferation in midbrain",7.716604e-06,0.2158103,4,18.5348,0.0001430257,7.608293e-05,0.000639233346405648,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:1990792","cellular response to glial cell derived neurotrophic factor",7.716604e-06,0.2158103,4,18.5348,0.0001430257,7.608293e-05,0.000639233346405648,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0090182","regulation of secretion of lysosomal enzymes",9.687114e-06,0.2709195,5,18.45567,0.0001787821,9.70854e-06,0.000103320966341463,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:0010477","response to sulfur dioxide",7.794034e-06,0.2179758,4,18.35066,0.0001430257,7.904691e-05,0.000662322426551504,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0007630","jump response",5.893778e-06,0.1648313,3,18.20043,0.0001072693,0.000659874,0.00429406780218688,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0042843","D-xylose catabolic process",7.894127e-06,0.2207751,4,18.11799,0.0001430257,8.30017e-05,0.000693358170389279,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
"GO:0042946","glucoside transport",1.193486e-05,0.3337823,6,17.97579,0.0002145386,1.443331e-06,1.86139928965517e-05,2,1.111849,2,1.798806,0.000168152,1,0.3090403,0.607408037087087,"shared_mouse"
"GO:1902511","negative regulation of apoptotic DNA fragmentation",1.005387e-05,0.2811766,5,17.78242,0.0001787821,1.159209e-05,0.00012139236648,1,0.5559243,1,1.798806,8.4076e-05,1,0.5559243,0.787729929313704,"shared_mouse"
